ID,Joke,Rating,rating_category
1,Why don't scientist trust atoms? Because they make up everything.,1,bad
2,How do you organize a space party? You planet.,-5,abysmal
3,Why couldn't the bicycle stand up by itself? It was two-tired.,0,bad
4,Why did the scarecrow win an award? Because he was outstanding in his field.,1,bad
5,What do you call fake spaghetti? An impasta.,-5,abysmal
6,Why don't oysters donate to charity? Because they're shellfish.,0,bad
7,Why did the invisible man turn down the job offer? Because he couldn't see himself doing it.,-4,abysmal
8,How does the train eat? It goes chew chew.,-1,awful
9,Why other couples don't go to the gym? Because some relationships don't work out.,0,bad
10,Why did the coffee file a police report? It got mugged.,-3,abysmal
